elapsed_seconds,client_in_flight,client_visible_post_ttft_streams_open
103.107602117,99,55
103.107668518,100,55
103.192256745,99,54
103.194248759,100,54
103.243778923,100,55
103.674793524,100,56
103.674875380,100,57
103.718333438,100,58
103.944274698,99,57
103.944389931,100,57
104.027764134,99,56
104.027884935,100,56
104.138770815,99,55
104.138863135,100,55
104.236079130,100,56
104.599581044,100,57
104.723115267,100,58
104.745648637,99,57
104.745850750,100,57
104.885559868,100,58
105.028008652,100,59
105.030546301,99,58
105.030648318,100,58
105.530269501,99,57
105.530340861,100,57
105.647108606,99,56
105.647183998,100,56
105.723875148,99,55
105.724039405,100,55
107.060947349,99,54
107.061070038,100,54
107.153583824,99,53
107.153649712,100,53
107.231142019,99,52
107.231220388,100,52
107.800046685,99,51
107.800168318,100,51
108.182269752,99,50
108.182424217,100,50
108.406216342,100,51
108.409420492,99,50
108.409543757,100,50
108.636193118,99,49
108.636259135,100,49
108.784369781,100,50
108.825137869,99,49
108.825202061,100,49
109.056490398,99,48
109.056746496,100,48
109.214740474,99,47
109.214874459,100,47
109.467505438,99,46
109.467752416,100,46
109.582222992,99,45
109.582544082,100,45
110.444984104,99,44
110.445440395,100,44
110.452029560,99,43
110.452164857,100,43
110.522404922,99,42
110.522578043,100,42
111.480901505,100,43
111.486401319,100,44
111.487062476,100,45
111.538143146,100,46
111.538159370,100,47
111.865004169,100,48
112.003994562,99,47
112.004087234,100,47
112.275138435,99,46
112.275514278,100,46
112.932203929,100,47
112.932817950,100,48
112.932880734,100,49
112.932913950,100,50
113.136867604,100,51
113.397606254,99,50
113.397973073,100,50
113.752171436,100,51
113.753049010,99,50
113.753119890,100,50
113.815795680,100,51
113.860930677,100,52
114.279670410,99,51
114.279733450,100,51
114.418158591,100,52
114.559238469,99,51
114.559515399,100,51
114.792432387,99,50
114.792558628,100,50
114.948381200,99,49
114.948445040,100,49
115.182376083,100,50
115.223009097,99,49
115.223063850,100,49
115.628094401,100,50
115.824946630,100,51
115.965797099,99,50
115.965965900,100,50
116.032184946,100,51
116.193068480,100,52
116.252639608,100,53
116.571880612,100,54
116.614185030,99,53
116.614254534,100,53
117.143825555,100,54
117.486718048,99,53
117.486851873,100,53
117.746088049,100,54
117.746134865,100,55
117.888425632,100,56
117.930279935,99,55
117.930385184,100,55
117.966336054,100,56
117.969286314,99,55
117.969351595,100,55
118.064521367,99,54
118.064621592,100,54
118.355960356,100,55
118.356410983,99,54
118.356477095,100,54
118.455454254,100,55
118.455507022,100,56
118.455524846,100,57
118.653826205,100,58
118.948969763,99,57
118.949047555,100,57
118.999688926,99,56
118.999796671,100,56
119.021311315,100,57
119.053301134,100,58
119.280335777,99,57
119.280485506,100,57
119.395699768,99,56
119.395759128,100,56
119.630915523,99,55
119.631028772,100,55
119.668487525,99,54
119.668581830,100,54
119.729593160,100,55
119.729739561,100,56
119.753061000,99,55
119.753266442,100,55
119.906332963,100,56
119.908144783,99,55
119.908240464,100,55
119.930788042,100,56
119.954396076,99,55
119.954455532,100,55
119.993485016,99,54
119.993559832,100,54
120.031778206,100,55
120.088786245,99,54
120.088884261,100,54
120.289259106,100,55
120.289359267,100,56
120.546125634,99,55
120.546427908,100,55
120.780235942,99,54
120.780304807,100,54
121.112080744,100,55
121.112100296,100,56
121.136294638,99,55
121.136382543,100,55
121.312015874,100,56
121.416855504,99,55
121.416919121,100,55
121.533006636,100,56
121.536647269,99,55
121.537055816,100,55
121.635459242,100,56
121.696242603,99,55
121.696357099,100,55
121.839945635,100,56
122.175501374,99,55
122.175921857,100,55
122.599892954,100,56
122.602740398,99,55
122.602942415,100,55
122.625660139,100,56
122.625691691,100,57
122.845047114,99,56
122.845112778,100,56
123.076709213,99,55
123.076941535,100,55
123.752376883,99,54
123.752575028,100,54
123.775887924,99,53
123.776079893,100,53
123.892488147,99,52
123.892573331,100,52
124.012163079,99,51
124.012480937,98,50
124.012540841,99,50
124.013234862,100,50
124.356638623,99,49
124.356713312,100,49
124.627402046,99,48
124.627493887,100,48
124.648875313,100,49
124.978407139,99,48
124.978497220,100,48
125.037202678,100,49
125.098852029,99,48
125.099099038,100,48
125.236824334,100,49
125.236842286,100,50
125.281231006,100,51
125.606861525,100,52
125.926122465,100,53
125.926143905,100,54
125.985704313,100,55
126.104184165,100,56
126.145724098,99,55
126.145795970,100,55
126.244240901,100,56
126.406062329,100,57
127.053758831,100,58
127.356442825,100,59
127.417258634,100,60
127.517810363,100,61
127.541627422,99,60
127.541709086,100,60
127.619835734,99,59
127.619936598,100,59
127.657905563,99,58
127.658009595,100,58
127.679086892,100,59
127.679404014,100,60
127.679505135,100,61
127.820944504,99,60
127.821046424,100,60
127.934924229,100,61
127.940456491,99,60
127.940525675,100,60
128.018727043,99,59
128.018811939,100,59
128.255568858,100,60
128.299938570,99,59
128.300000618,100,59
128.339191511,99,58
128.339391320,100,58
