lane_id,device_id,lane_label,pp_rank,tp_rank,launch_offset_ns_from_request_start,launch_offset_ms_from_request_start,duration_ns,duration_us,category,stream_id,correlation_id,kernel_name
3,3,PP3 · TP0,3,0,4933525741,4933.525741,5352541,5352.541,attention,27,85876,"void deep_gemm::sm90_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)131, (unsigned int)128, (unsigned int)512, float>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0,0,PP0 · TP0,0,0,4933743600,4933.7436,324930,324.93,memory_elementwise,27,107174,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0,0,PP0 · TP0,0,0,4934070258,4934.070258,319841,319.841,memory_elementwise,27,107179,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
2,2,PP2 · TP0,2,0,4934185084,4934.185084,194176,194.176,norm_rope_quant,27,98297,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0
2,2,PP2 · TP0,2,0,4934380764,4934.380764,75136,75.136,gemm_moe,27,98311,nvjet_sm90_tst_128x256_64x4_2x1_v_bz_coopA_TNN
0,0,PP0 · TP0,0,0,4934391443,4934.391443,321858,321.858,memory_elementwise,27,107184,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
2,2,PP2 · TP0,2,0,4934458204,4934.458204,21024,21.024,other,27,98324,triton_poi_fused_add_sigmoid_unsqueeze_0
2,2,PP2 · TP0,2,0,4934481340,4934.48134,254880,254.88,moe_routing,27,98337,"void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, T1 *)"
1,1,PP1 · TP0,1,0,4934618783,4934.618783,111681,111.681,nccl_sendrecv,51,96360,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
0,0,PP0 · TP0,0,0,4934714677,4934.714677,3483313,3483.313,moe_routing,27,107199,"<unnamed>::topk_transform_prefill_kernel(<unnamed>::FastTopKParams, int *, const int *, long, const int *, long)"
